,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,constitucion,30,CL,1583762287,37,-35.33,-72.42,72.21,8.34
1,hermanus,100,ZA,1583762287,84,-34.42,19.23,77.0,8.01
2,atuona,15,PF,1583762288,63,-9.8,-139.03,81.03,11.72
3,sangar,100,RU,1583762288,86,63.92,127.47,-8.97,12.91
4,broken hill,60,AU,1583762288,33,-31.95,141.43,71.6,9.17
5,college,90,US,1583762288,91,64.86,-147.8,5.0,2.66
6,cabo san lucas,90,MX,1583762207,68,22.89,-109.91,70.0,4.7
7,vittoria,40,IT,1583762289,67,36.95,14.53,62.01,14.99
8,santa cruz del sur,10,CU,1583762289,71,20.71,-78.0,75.27,26.64
9,kudahuvadhoo,9,MV,1583762289,68,2.67,72.89,84.09,9.8
10,yulara,0,AU,1583762290,17,-25.24,130.99,86.0,12.75
11,ushuaia,75,AR,1583762290,76,-54.8,-68.3,50.0,5.82
12,rikitea,43,PF,1583762290,82,-23.12,-134.97,78.15,12.93
13,oistins,40,BB,1583762290,62,13.07,-59.53,84.2,19.46
14,pevek,100,RU,1583762291,87,69.7,170.31,-9.87,8.86
15,barrow,90,US,1583762291,68,71.29,-156.79,-18.4,6.46
16,garden city,1,US,1583762291,66,42.33,-83.33,55.0,12.75
17,upington,20,ZA,1583762291,16,-28.45,21.26,96.8,5.82
18,finnsnes,75,NO,1583762292,75,69.23,17.98,41.0,20.8
19,porto novo,40,BJ,1583762292,70,6.5,2.6,89.6,12.75
20,khatanga,99,RU,1583762292,98,71.97,102.5,-26.79,4.76
21,saskylakh,0,RU,1583762292,100,71.92,114.08,-33.09,2.01
22,alofi,90,NU,1583762292,100,-19.06,-169.92,77.0,1.12
23,port alfred,93,ZA,1583762293,94,-33.59,26.89,68.0,3.0
24,norman wells,75,CA,1583762293,75,65.28,-126.83,-20.2,4.7
25,mataura,100,NZ,1583762293,96,-46.19,168.86,57.0,4.0
26,saldanha,57,ZA,1583762293,74,-33.01,17.94,80.6,23.04
27,mao,75,ES,1583762294,87,39.89,4.27,51.8,9.17
28,llata,75,PE,1583762142,70,-9.42,-76.78,48.81,3.42
29,butaritari,100,KI,1583762294,79,3.07,172.79,84.27,16.53
30,dikson,89,RU,1583762294,95,73.51,80.55,-15.09,15.39
31,fuling,100,CN,1583762294,89,29.7,107.39,49.53,1.88
32,bathsheba,40,BB,1583762295,62,13.22,-59.52,84.2,19.46
33,acapulco,5,MX,1583762076,83,16.86,-99.89,75.2,4.7
34,komsomolskiy,99,UZ,1583762295,57,40.43,71.72,50.0,2.24
35,punta arenas,99,CL,1583762295,76,-53.15,-70.92,50.0,8.05
36,cape town,20,ZA,1583762295,57,-33.93,18.42,77.0,24.16
37,jamestown,20,US,1583762296,39,42.1,-79.24,55.0,12.75
38,pedernales,75,DO,1583762296,88,18.04,-71.74,73.4,4.7
39,albany,1,US,1583762162,31,42.6,-73.97,55.99,9.17
40,busselton,0,AU,1583762296,38,-33.65,115.33,70.0,10.45
41,puerto ayora,40,EC,1583762297,83,-0.74,-90.35,81.0,8.05
42,lata,20,PT,1583762297,55,40.16,-8.33,63.0,14.99
43,iqaluit,90,CA,1583762297,68,63.75,-68.51,-20.2,27.51
44,naze,75,JP,1583762297,88,28.37,129.48,71.6,16.11
45,walvis bay,0,NA,1583762298,85,-22.96,14.51,66.99,5.01
46,tilichiki,13,RU,1583762298,91,60.47,166.1,-2.67,4.43
47,san jose,1,US,1583762102,76,37.34,-121.89,50.0,1.14
48,nuuk,75,GL,1583762298,57,64.18,-51.72,23.0,3.36
49,savannah bight,5,HN,1583762299,78,16.45,-85.85,78.69,17.98
50,hobyo,0,SO,1583762299,71,5.35,48.53,78.33,16.84
51,sao filipe,0,CV,1583762299,75,14.9,-24.5,73.11,18.03
52,kodiak,75,US,1583762194,74,57.79,-152.41,28.4,4.7
53,innisfail,100,AU,1583762300,94,-17.53,146.03,75.81,3.29
54,anloga,20,GH,1583762300,55,5.79,0.9,91.4,16.11
55,pisco,0,PE,1583762300,30,-13.7,-76.22,73.99,3.36
56,thompson,90,CA,1583762301,76,55.74,-97.86,-9.4,3.36
57,upernavik,100,GL,1583762301,95,72.79,-56.15,-17.43,12.41
58,salalah,34,OM,1583762301,57,17.02,54.09,78.8,6.93
59,pimenteiras,56,BR,1583762301,70,-6.25,-41.42,83.91,4.25
60,lompoc,90,US,1583762199,57,34.64,-120.46,54.0,6.93
61,ponta do sol,20,PT,1583762302,59,32.67,-17.1,66.99,19.46
62,san buenaventura,100,MX,1583762302,68,27.08,-101.53,64.0,1.99
63,wilmington,1,US,1583762302,71,34.23,-77.94,57.0,5.21
64,hasaki,75,JP,1583762302,100,35.73,140.83,55.4,10.29
65,damghan,0,IR,1583762303,30,36.17,54.35,52.23,9.86
66,caravelas,87,BR,1583762303,78,-17.71,-39.25,80.13,12.86
67,plettenberg bay,100,ZA,1583762303,95,-34.05,23.37,64.65,14.36
68,jumla,0,NP,1583762303,60,29.27,82.18,34.77,6.44
69,nome,1,US,1583762180,82,64.5,-165.41,-23.8,3.36
70,kalabo,93,ZM,1583762304,68,-14.97,22.68,78.33,6.31
71,anori,67,BR,1583762304,52,-3.77,-61.64,92.19,3.62
72,san cristobal,75,VE,1583762304,88,7.77,-72.22,75.2,2.24
73,hobart,0,AU,1583762212,44,-42.88,147.33,46.99,1.01
74,bengkulu,95,ID,1583762305,92,-3.8,102.27,75.81,1.86
75,isla mujeres,75,MX,1583762305,69,21.23,-86.73,75.2,13.87
76,mount isa,3,AU,1583762305,32,-20.73,139.5,80.6,10.29
77,candido de abreu,0,BR,1583762305,48,-24.57,-51.33,83.73,1.88
78,kieta,83,PG,1583762306,82,-6.22,155.63,80.49,2.19
79,kuusamo,90,FI,1583762306,100,65.97,29.18,35.6,14.99
80,bredasdorp,100,ZA,1583762306,56,-34.53,20.04,69.8,12.75
81,mackay,90,AU,1583762306,94,-21.15,149.2,79.0,4.7
82,fairbanks,90,US,1583762299,91,64.84,-147.72,5.0,1.81
83,puerto del rosario,0,ES,1583762306,61,28.5,-13.86,77.0,11.41
84,los llanos de aridane,0,ES,1583762307,64,28.66,-17.92,77.0,11.41
85,chuy,37,UY,1583762307,38,-33.7,-53.46,91.29,0.65
86,inhambane,40,MZ,1583762308,62,-23.86,35.38,86.0,6.93
87,christchurch,61,NZ,1583762308,67,-43.53,172.63,62.01,13.87
88,new norfolk,0,AU,1583762308,80,-42.78,147.06,46.99,2.06
89,dakoro,0,NE,1583762308,5,14.51,6.76,100.11,6.55
90,lebu,7,CL,1583762309,40,-37.62,-73.65,70.95,5.93
91,marawi,16,PH,1583762309,83,8.0,124.29,78.01,3.0
92,carnarvon,0,AU,1583762309,83,-24.87,113.63,77.0,17.22
93,flinders,88,AU,1583762310,77,-34.58,150.86,64.0,8.05
94,havre-saint-pierre,1,CA,1583762310,40,50.23,-63.6,-4.0,11.41
95,havelock,1,US,1583762084,80,34.88,-76.9,55.0,3.36
96,saint-prosper,90,CA,1583762311,85,46.21,-70.48,28.99,4.0
97,adrar,100,MR,1583762311,7,20.5,-10.07,88.41,16.44
98,trincomalee,67,LK,1583762244,86,8.57,81.23,72.93,3.06
99,severo-kurilsk,100,RU,1583762311,98,50.68,156.12,29.37,5.1
100,san carlos de bariloche,79,AR,1583762154,57,-41.15,-71.31,51.8,1.39
101,cherskiy,100,RU,1583762312,99,68.75,161.3,-11.31,4.25
102,hithadhoo,93,MV,1583762312,74,-0.6,73.08,84.09,14.97
103,cockburn town,50,TC,1583762312,68,21.46,-71.14,73.47,31.54
104,ilulissat,75,GL,1583762312,46,69.22,-51.1,6.8,4.7
105,ituporanga,12,BR,1583762313,82,-27.41,-49.6,82.99,8.99
106,pacasmayo,11,PE,1583762313,62,-7.4,-79.57,80.49,10.49
107,bardiyah,0,LY,1583762313,64,31.76,25.09,60.33,21.99
108,ostrovnoy,100,RU,1583762313,89,68.05,39.51,35.85,32.91
109,birao,0,CF,1583762313,7,10.28,22.79,104.79,8.84
110,tuktoyaktuk,40,CA,1583762314,74,69.45,-133.04,-25.6,2.24
111,georgetown,20,MY,1583762141,74,5.41,100.34,86.0,2.24
112,yumen,0,CN,1583762315,32,40.28,97.2,26.49,15.84
113,port-gentil,40,GA,1583762315,70,-0.72,8.78,89.6,10.29
114,kapaa,75,US,1583762315,60,22.08,-159.32,71.6,10.29
115,snezhnogorsk,75,RU,1583762316,86,69.19,33.25,37.4,17.9
116,morro da fumaca,0,BR,1583762316,28,-28.65,-49.21,94.17,2.33
117,castro,2,BR,1583762316,37,-24.79,-50.01,78.69,3.42
118,new kensington,1,US,1583762316,32,40.57,-79.76,55.0,11.41
119,moose factory,40,CA,1583762317,64,51.26,-80.61,-2.2,16.11
120,kahului,20,US,1583762177,68,20.89,-156.47,69.8,8.05
121,kaitangata,100,NZ,1583762317,92,-46.28,169.85,57.99,3.0
122,vaini,75,TO,1583762317,88,-21.2,-175.2,77.0,4.7
123,yellowknife,20,CA,1583762317,75,62.46,-114.35,-9.99,4.7
124,fort nelson,90,CA,1583762318,72,58.81,-122.7,12.2,6.93
125,port elizabeth,90,ZA,1583762318,100,-33.92,25.57,66.2,6.93
126,sambava,100,MG,1583762318,96,-14.27,50.17,76.17,0.85
127,topeka,90,US,1583762262,87,39.05,-95.68,52.0,10.29
128,arraial do cabo,40,BR,1583762072,65,-22.97,-42.03,82.4,10.29
129,esmeraldas,75,BR,1583762319,69,-19.76,-44.31,73.4,4.7
130,pacific grove,1,US,1583762296,87,36.62,-121.92,50.0,9.57
131,avarua,98,CK,1583762083,88,-21.21,-159.78,78.8,4.7
132,meppel,75,NL,1583762319,75,52.7,6.19,51.01,11.41
133,qeshm,20,IR,1583762320,38,26.96,56.27,77.0,9.17
134,victoria,40,HK,1583762105,78,22.29,114.16,78.8,11.41
135,jardim do serido,100,BR,1583762320,48,-6.58,-36.77,89.67,6.15
136,les cayes,31,HT,1583762320,68,18.2,-73.75,77.79,6.38
137,le port,59,RE,1583762289,88,-20.94,55.29,80.6,21.92
